formulas,bandgap
Ba3Cu1P2Br3O7,2.8621
Ba1Ce1C2O6F1,0.0921
Ba1Ce1C2O6F1,0.2706
Ba1Ce1C2O6F1,0.3249
Ba1C1S1N1Cl1,4.1176
Ba2Co1C2O6F2,3.066
Ba1Cu1C1O3F2,0.4353
Ba2Gd1C2O6F3,3.0692
Ba1Mn1C1O3F2,4.0865
Ba1C2S2O6F6,6.1553
Ba3Sc1C1O3F7,4.9085
Ba1Sm1C2O6F1,4.282
Ba2Y1C2O6F3,5.264
Ba1Zn1C1O3F2,4.7744
Ba1H8C6N6O8,4.5878
K3Ba1P1C1O7,3.9056
Rb2Ba1Pt2C8N8,1.6897
Ba1Na3P1C1O7,3.9896
Ba1Na3P1C1O7,3.6661
Ba1Ca1P2H2O8,5.327
Ba1Ca2Mg1Si2O8,4.972
Ba2Co1Se2Cl2O6,3.0067
Ba2Mn1Ni1Cl1F7,3.6099
Ba3Li2V2Cl4O7,3.1302
Ba2Mn1Si2Cl1O7,1.3284
Ba1Zn1Te1Cl2O3,3.7598
Ba1Y1Mn1Co1O5,0.2054
Ba1La1Ti1Cr1O6,1.3001
Cs1Ba1Si1H1O4,3.9698
Cs1Ba1Li1P2O7,4.8878
Ba1Y1Fe1Cu1O5,0.5511
Ba1Na2V2Cu1O8,0.691
Ba1Y1Cu1Ni1O5,0.2337
Ba2Y2Cu1Pt1O8,0.2261
Ba1Y1Ti1Cu1O5,0.0909
Ba1Fe2P2O7F2,3.9302
Ba2Fe2Se2O1F2,2.0058
K1Ba1Li1Zn1F6,4.9936
Ba2Mn2Se2O1F2,1.9964
Ba2Zn1Ge2S6O1,2.0929
K1Ba1Si1H1O4,3.9285
Ba1Np1P1H2O7,0.0341
Rb1Ba1Si1H1O4,3.9078
K1Ba1Y1Si2O7,4.6816
Ba1Li1La1Te1O6,2.9526
Ba1La1Mg1Nb1O6,2.7808
Ba1La1Mg1Ru1O6,0.2476
Ba1La1Mg1Ta1O6,2.9441
Ba1La1Ta1Mn1O6,0.9448
Ba1La1Zn1Ru1O6,0.4316
Ba1La1Ta1Zn1O6,2.5384
Ba1Li2Mg1P2O8,5.6382
Ba1Li2Mn1V2O8,2.7929
Ba1Na2Mg1P2O8,5.0412
Ba1Na2Mg1P2O8,4.8692
Ba1Sr2Mg1Si2O8,4.759
Ba2Na2U1S4O2,1.3057
Ba1Na1Sc1Si2O7,4.6606
Ba1Nd1Ni1Sb1O6,2.5993
Ba2Y1Tl1Ni2O7,0.2571
Ba2Y1Tl1V2O7,0.5411
K3Be1P1C1O7,4.0032
Li3Be1P1C1O7,5.3538
Li3Be1P1C1O7,5.243
Ce1Be1Si1H1O5,0.1875
Li1Be1H4N1F4,6.5775
